person_age,person_income,person_home_ownership,person_emp_length,loan_intent,loan_grade,loan_amnt,loan_int_rate,loan_status,loan_percent_income,cb_person_default_on_file,cb_person_cred_hist_length
26,95000,0,10.0,2,2,15000,15.96,0,0.16,0,3
27,82500,0,3.0,0,0,11100,8.94,0,0.13,0,7
22,30000,3,4.0,0,3,7000,16.49,1,0.23,1,3
23,56500,3,7.0,0,3,3000,14.84,1,0.05,1,3
22,57860,0,1.0,1,2,20000,11.41,0,0.35,0,3
27,60000,3,1.0,5,2,10000,13.22,0,0.17,0,7
24,32000,0,6.0,1,0,12250,8.94,0,0.38,0,4
24,36000,0,5.0,3,2,4000,15.23,1,0.11,1,3
24,65000,0,1.0,1,0,8500,7.51,0,0.13,0,2
36,53800,0,20.0,0,3,18200,18.25,1,0.34,1,12
28,95000,0,13.0,5,1,15000,9.91,0,0.16,0,7
26,37000,3,5.0,5,3,14500,15.33,1,0.39,0,4
24,25200,2,1.0,3,2,3200,15.23,0,0.13,1,2
29,60000,0,7.0,5,0,5000,7.66,0,0.08,0,10
33,80001,3,6.0,1,4,21600,18.64,1,0.27,0,10
24,42500,0,8.0,0,2,10000,13.8,0,0.24,0,2
23,115000,3,0.0,4,2,10800,14.65,0,0.09,0,4
32,136000,0,11.0,3,1,12000,10.0,0,0.09,0,8
23,30000,3,3.0,4,0,3600,5.99,0,0.12,0,2
31,57000,0,10.0,1,1,8000,9.88,0,0.14,0,9
22,30000,0,4.0,1,1,5000,11.89,1,0.17,0,4
27,58000,0,3.0,2,0,12000,7.51,0,0.21,0,8
35,104000,3,0.0,0,1,3000,11.58,0,0.03,0,6
30,40556,3,12.0,1,2,8500,12.87,0,0.21,1,7
30,20000,3,14.0,3,3,5400,14.61,0,0.27,1,7
25,32000,3,9.0,0,2,6000,12.99,1,0.19,1,2
23,34000,0,3.0,5,2,12000,14.27,1,0.35,0,4
23,55000,3,5.0,0,1,20000,12.53,1,0.36,0,2
29,63755,0,14.0,3,2,3000,10.99,0,0.05,1,10
23,34800,3,1.0,5,1,1000,11.99,0,0.03,0,4
25,35000,3,1.0,3,1,1500,10.0,0,0.04,0,4
23,45000,0,2.0,1,1,10000,11.11,0,0.22,0,3
23,69000,3,7.0,0,1,4800,10.75,0,0.07,0,2
27,17795,2,4.0,3,0,2650,10.99,0,0.15,0,8
23,60000,3,0.0,1,2,9000,13.61,0,0.15,0,4
25,43000,3,4.0,1,0,10000,7.66,0,0.23,0,3
29,110000,0,0.0,1,0,8500,7.51,0,0.08,0,10
25,35196,3,2.0,3,3,6000,14.54,1,0.17,0,3
23,35808,0,3.0,1,0,8700,7.51,0,0.24,0,2
26,95000,3,4.0,0,0,4800,10.99,0,0.05,0,4
33,37000,0,2.0,4,1,13000,10.36,0,0.35,0,7
22,41300,3,6.0,1,1,4800,11.89,0,0.12,0,3
46,102000,3,0.0,4,2,15000,13.22,0,0.15,1,17
24,36000,2,5.0,4,1,8000,10.65,0,0.22,0,2
21,65500,3,6.0,1,2,8000,12.84,0,0.12,1,2
32,27600,3,0.0,3,0,7000,6.54,0,0.25,0,9
23,85000,2,4.0,1,2,9600,13.61,0,0.11,0,3
30,113000,0,4.0,0,3,30000,15.62,1,0.27,1,8
26,51500,0,3.0,2,3,9600,15.21,0,0.19,1,4
25,150000,0,9.0,1,0,8200,5.79,0,0.05,0,3
33,71000,0,10.0,2,0,10000,5.79,0,0.14,0,9
22,63800,0,7.0,0,1,25000,11.36,0,0.39,0,4
27,51000,3,1.0,2,0,2000,7.74,0,0.04,0,6
45,73000,3,0.0,1,2,5600,15.27,1,0.08,0,11
24,89000,0,8.0,3,2,25000,13.11,0,0.28,1,3
29,40000,0,13.0,5,0,1400,5.99,0,0.04,0,9
36,106000,0,15.0,2,0,4025,7.49,0,0.04,0,14
23,72000,3,7.0,5,1,5600,11.12,0,0.08,0,2
36,35000,3,1.0,5,1,10000,10.99,0,0.29,0,15
24,33500,3,5.0,2,2,2000,13.8,1,0.06,0,2
25,48000,0,2.0,5,1,5000,10.99,0,0.1,0,4
23,130008,0,0.0,3,0,9000,7.74,0,0.07,0,2
24,116300,3,6.0,2,3,5000,14.96,0,0.04,1,4
28,110000,0,1.0,1,0,12000,8.94,0,0.11,0,10
24,47250,3,5.0,1,1,12600,11.83,0,0.27,0,2
28,42000,0,6.0,1,1,5000,10.37,0,0.12,0,5
27,99000,0,4.0,3,0,9000,7.14,0,0.09,0,5
32,106300,0,13.0,4,0,20000,10.99,0,0.19,0,5
28,30000,0,5.0,5,0,15000,10.99,0,0.5,0,9
21,38400,3,5.0,1,0,10000,7.66,0,0.26,0,4
32,40000,3,1.0,0,2,9600,13.48,0,0.24,1,5
33,54000,0,7.0,5,2,7500,13.22,0,0.14,0,10
27,30000,3,1.0,2,3,10000,10.99,1,0.33,1,6
24,69000,0,9.0,0,1,3000,11.11,0,0.04,0,2
22,79618,0,6.0,1,0,7000,7.74,0,0.09,0,3
25,73000,3,2.0,4,3,7200,14.96,1,0.1,0,3
22,33000,3,4.0,3,0,6500,6.17,0,0.2,0,4
27,73000,0,3.0,0,1,18000,12.69,1,0.25,0,6
53,95000,2,24.0,4,0,6000,5.42,0,0.06,0,30
23,94000,0,1.0,4,0,13000,6.03,0,0.14,0,4
23,71000,0,7.0,1,0,9600,7.51,0,0.14,0,4
22,68000,0,3.0,5,0,6500,5.99,0,0.1,0,4
25,34000,3,3.0,3,0,9600,7.88,0,0.28,0,4
26,140000,0,10.0,5,1,24250,12.53,0,0.17,0,3
23,24000,3,4.0,1,2,12250,13.16,1,0.51,1,4
43,36000,3,0.0,3,0,9000,5.79,0,0.25,0,14
23,64600,3,7.0,3,1,7000,11.86,0,0.11,0,3
24,33000,3,3.0,4,1,5500,11.11,0,0.17,0,4
25,63300,0,0.0,1,2,17600,12.53,0,0.28,1,4
28,60000,2,12.0,1,0,7000,7.66,0,0.12,0,9
23,40000,0,3.0,5,1,4000,9.99,0,0.1,0,4
41,45840,3,5.0,0,1,4600,10.99,0,0.1,0,14
22,41000,3,5.0,5,0,14000,10.99,1,0.34,0,3
23,54000,0,7.0,1,1,4800,12.42,0,0.09,0,2
29,110000,3,9.0,0,1,25600,10.99,0,0.23,0,5
23,37200,0,7.0,0,0,4000,7.66,1,0.11,0,2
24,68900,0,2.0,2,1,19500,11.83,0,0.28,0,2
29,75000,0,3.0,1,1,16950,10.37,0,0.23,0,10
22,21996,3,0.0,3,1,2500,11.89,0,0.11,0,2
34,62000,3,1.0,2,0,6000,7.49,0,0.1,0,9
25,30000,3,9.0,0,3,9000,17.58,1,0.3,1,4
30,148000,3,8.0,4,3,10000,13.55,0,0.07,0,9
40,70000,0,6.0,3,0,18000,7.9,0,0.26,0,12
24,87000,0,1.0,5,0,4000,6.03,0,0.05,0,2
36,56500,0,7.0,5,0,12000,7.49,0,0.21,0,17
22,51000,3,6.0,1,2,7500,10.99,0,0.15,0,4
22,26000,3,2.0,3,0,3900,7.51,0,0.15,0,3
33,40000,0,17.0,4,2,6000,12.68,0,0.15,1,9
39,29280,2,0.0,5,0,1800,7.37,0,0.06,0,11
23,49000,0,7.0,5,2,4000,13.99,0,0.08,0,4
37,36000,0,5.0,0,0,12000,6.03,0,0.33,0,13
29,68000,3,2.0,4,2,10000,14.27,0,0.15,0,8
21,60000,2,0.0,5,3,16000,10.99,0,0.27,0,2
22,48000,3,1.0,3,1,13000,9.99,0,0.27,0,2
31,59000,0,2.0,0,1,13000,11.14,0,0.22,0,7
29,85155,3,13.0,2,3,20000,14.61,0,0.23,0,6
21,27600,3,5.0,1,0,7000,5.99,0,0.25,0,2
24,90000,0,8.0,2,4,24000,17.56,0,0.27,0,3
26,76668,3,10.0,0,0,7200,9.63,0,0.09,0,4
28,70000,0,2.0,5,0,5600,6.62,0,0.08,0,5
40,62540,0,5.0,3,5,7500,19.04,1,0.1,1,12
23,45000,3,3.0,1,1,2000,10.99,0,0.04,0,3
23,45000,3,7.0,3,4,16000,16.45,1,0.36,1,4
27,36789,0,1.0,0,2,5500,13.57,0,0.15,1,8
25,150000,0,9.0,2,1,20000,8.88,0,0.13,0,4
31,50000,3,1.0,5,1,10000,10.71,0,0.2,0,6
28,140000,3,0.0,0,1,15000,11.26,0,0.11,0,5
29,108000,0,9.0,2,0,11400,9.32,0,0.11,0,5
27,50600,3,9.0,5,1,12000,9.91,0,0.24,0,7
27,45200,3,11.0,1,3,5000,16.0,1,0.11,0,10
23,48000,0,5.0,1,2,5000,13.99,0,0.1,1,2
23,60000,0,7.0,5,0,7200,10.99,0,0.12,0,4
29,40000,3,3.0,3,1,14150,12.69,1,0.35,0,7
26,122000,0,10.0,4,0,6000,7.51,0,0.05,0,2
22,33000,3,2.0,4,0,4500,7.88,0,0.14,0,3
25,36000,0,3.0,3,0,5300,7.49,0,0.15,0,3
26,54396,3,10.0,3,2,4500,10.99,0,0.08,0,3
25,58020,3,9.0,4,0,2000,6.91,0,0.03,0,4
23,50000,3,7.0,4,0,15000,7.88,0,0.3,0,4
26,108000,3,9.0,1,6,24000,20.16,1,0.22,0,3
22,33000,3,3.0,3,0,4800,7.49,0,0.15,0,4
34,45204,0,4.0,4,0,5000,9.63,0,0.11,0,9
30,36000,3,2.0,5,1,5000,10.75,0,0.14,0,5
30,111996,3,1.0,0,0,12000,7.49,0,0.11,0,6
22,67000,0,0.0,1,1,12000,11.99,0,0.18,0,4
34,45000,3,7.0,3,0,1500,5.99,0,0.03,0,10
23,66000,0,7.0,5,0,15000,6.03,0,0.23,0,4
22,34500,3,3.0,0,1,3000,11.83,0,0.09,0,2
27,129700,0,1.0,4,0,10000,6.54,0,0.08,0,7
32,38400,3,1.0,5,1,10000,10.39,0,0.26,0,10
29,65000,3,1.0,1,1,12800,9.45,0,0.2,0,10
29,108000,0,13.0,0,0,3500,6.76,0,0.03,0,5
39,24000,3,1.0,3,0,8500,7.49,1,0.35,0,12
31,83000,3,5.0,4,1,6300,10.65,0,0.08,0,5
22,108000,3,1.0,4,3,8000,16.29,1,0.07,1,2
25,27024,3,7.0,1,4,2500,16.69,0,0.09,0,2
22,50004,2,0.0,5,2,5000,14.26,0,0.1,1,4
35,48000,3,6.0,3,0,17000,7.88,1,0.35,0,6
22,44004,0,0.0,0,4,11000,15.68,1,0.25,0,4
28,42000,3,4.0,5,2,6000,11.78,0,0.14,1,10
27,20000,3,0.0,1,1,5500,12.69,0,0.28,0,5
22,47000,2,6.0,3,0,3000,5.42,0,0.06,0,3
